Number,Roman_Numeral,Yoruba
397,CCCXCVII,Irinwo odinmarunun ati meje
398,CCCXCVIII,Irinwo odinmarunun ati mejo
399,CCCXCIX,Irinwo odinmarunun ati mesan
400,CD,Irinwo
401,CDI,Irinwo ati okan
402,CDII,Irinwo ati meji
403,CDIII,Irinwo ati meta
404,CDIV,Irinwo ati merin
405,CDV,Irinwo olemarunun
406,CDVI,Irinwo olemarunun ati mefa
407,CDVII,Irinwo olemarunun ati meje
408,CDVIII,Irinwo olemarunun ati mejo
409,CDIX,Irinwo olemarunun ati mesan
410,CDX,Irinwo olemewaa
411,CDXI,Irinwo olemewaa ati okan
412,CDXII,Irinwo olemewaa ati meji
413,CDXIII,Irinwo olemewaa ati meta
414,CDXIV,Irinwo olemewaa ati merin
415,CDXV,Okoolenirinwo odinmarunun
416,CDXVI,Okoolenirinwo odinmarunun ati mefa
417,CDXVII,Okoolenirinwo odinmarunun ati meje
418,CDXVIII,Okoolenirinwo odinmarunun ati mejo
419,CDXIX,Okoolenirinwo odinmarunun ati mesan
420,CDXX,Okoolenirinwo
421,CDXXI,Okoolenirinwo ati okan
422,CDXXII,Okoolenirinwo ati meji
423,CDXXIII,Okoolenirinwo ati meta
424,CDXXIV,Okoolenirinwo ati merin
425,CDXXV,Okoolenirinwo ole marunun
426,CDXXVI,Okoolenirinwo ole marunun ati mefa
427,CDXXVII,Okoolenirinwo ole marunun ati meje
428,CDXXVIII,Okoolenirinwo ole marunun ati mejo
429,CDXXIX,Okoolenirinwo ole marunun ati mesan
430,CDXXX,Okoolenirinwo olemewaa
431,CDXXXI,Okoolenirinwo olemewaa ati okan
432,CDXXXII,Okoolenirinwo olemewaa ati meji
433,CDXXXIII,Okoolenirinwo olemewaa ati meta
434,CDXXXIV,Okoolenirinwo olemewaa ati merin
435,CDXXXV,Ojilenirinwo odin marunun
436,CDXXXVI,Ojilenirinwo odin marunun ati mefa
437,CDXXXVII,Ojilenirinwo odin marunun ati meje
438,CDXXXVIII,Ojilenirinwo odin marunun ati mejo
439,CDXXXIX,Ojilenirinwo odin marunun ati mesan
440,CDXL,Ojilenirinwo
441,CDXLI,Ojilenirinwo ati okan
442,CDXLII,Ojilenirinwo ati meji
443,CDXLIII,Ojilenirinwo ati meta
444,CDXLIV,Ojilenirinwo ati merin
445,CDXLV,Ojilenirinwo olemarunun
446,CDXLVI,Ojilenirinwo olemarunun ati mefa
447,CDXLVII,Ojilenirinwo olemarunun ati meje
448,CDXLVIII,Ojilenirinwo olemarunun ati mejo
449,CDXLIX,Ojilenirinwo olemarunun ati mesan
450,CDL,Ojilenirinwo olemewaa
451,CDLI,Ojilenirinwo olemewaa ati okan
452,CDLII,Ojilenirinwo olemewaa ati meji
453,CDLIII,Ojilenirinwo olemewaa ati meta
454,CDLIV,Ojilenirinwo olemewaa ati merin
455,CDLV,Otaleirinwo odin marunun
456,CDLVI,Otaleirinwo odin marunun ati mefa
457,CDLVII,Otaleirinwo odin marunun ati meje
458,CDLVIII,Otaleirinwo odin marunun ati mejo
459,CDLIX,Otaleirinwo odin marunun ati mesan
460,CDLX,Otalenirinwo
461,CDLXI,Otalenirinwo ati okan
462,CDLXII,Otalenirinwo ati meji
463,CDLXIII,Otalenirinwo ati meta
464,CDLXIV,Otalenirinwo ati merin
465,CDLXV,Otalenirinwo olemarunun
466,CDLXVI,Otalenirinwo olemarunun ati mefa
467,CDLXVII,Otalenirinwo olemarunun ati meje
468,CDLXVIII,Otalenirinwo olemarunun ati mejo
469,CDLXIX,Otalenirinwo olemarunun ati mesan
470,CDLXX,Orinlenirinwo odinmewaa
471,CDLXXI,Orinlenirinwo odinmewaa ati okan
472,CDLXXII,Orinlenirinwo odinmewaa ati meji
473,CDLXXIII,Orinlenirinwo odinmewaa ati meta
474,CDLXXIV,Orinlenirinwo odinmewaa ati merin
475,CDLXXV,Orinlenirinwo odinmarunun
476,CDLXXVI,Orinlenirinwo odinmarunun ati mefa
477,CDLXXVII,Orinlenirinwo odinmarunun ati meje
478,CDLXXVIII,Orinlenirinwo odinmarunun ati mejo
479,CDLXXIX,Orinlenirinwo odinmarunun ati mesan
480,CDLXXX,Orinlenirinwo
481,CDLXXXI,Orinlenirinwo ati okan
482,CDLXXXII,Orinlenirinwo ati meji
483,CDLXXXIII,Orinlenirinwo ati meta
484,CDLXXXIV,Orinlenirinwo ati merin
485,CDLXXXV,Orinlenirinwo olemarunun
486,CDLXXXVI,Orinlenirinwo olemarunun ati mefa
487,CDLXXXVII,Orinlenirinwo olemarunun ati meje
488,CDLXXXVIII,Orinlenirinwo olemarunun ati mejo
489,CDLXXXIX,Orinlenirinwo olemarunun ati mesan
490,CDXC,Edagbeta odinmarunun
491,CDXCI,Edagbeta odinmarunun ati okan
492,CDXCII,Edagbeta odinmarunun ati meji
493,CDXCIII,Edagbeta odinmarunun ati meta
494,CDXCIV,Edagbeta odinmarunun ati merin
495,CDXCV,Edagbeta odinmarunun ati aarun
496,CDXCVI,Edagbeta odinmarunun ati mefa
497,CDXCVII,Edagbeta odinmarunun ati meje
498,CDXCVIII,Edagbeta odinmarunun ati mejo
499,CDXCIX,Edagbeta odinmarunun ati mesan
500,D,Ẹdẹgbẹta
501,DI,Ẹdẹgbẹta ati okan
502,DII,Ẹdẹgbẹta ati meji
503,DIII,Ẹdẹgbẹta ati meta
504,DIV,Ẹdẹgbẹta ati merin
505,DV,Ẹdẹgbẹta ati aarun
506,DVI,Ẹdẹgbẹta ati mefa
507,DVII,Ẹdẹgbẹta ati meje
508,DVIII,Ẹdẹgbẹta ati mejo
509,DIX,Ẹdẹgbẹta ati mesan
510,DX,Ẹdẹgbẹta ati eewa
511,DXI,Ẹdẹgbẹta ati okanla
512,DXII,Ẹdẹgbẹta ati ejila
513,DXIII,Ẹdẹgbẹta ati etala
514,DXIV,Ẹdẹgbẹta ati erinla
515,DXV,Ẹdẹgbẹta ati edogun
516,DXVI,Ẹdẹgbẹta ati erindinlogun
517,DXVII,Ẹdẹgbẹta ati etadinlogun
518,DXVIII,Ẹdẹgbẹta ati ejindinlogun
519,DXIX,Ẹdẹgbẹta ati okandinlogun
520,DXX,Ẹdẹgbẹta ati ogun
521,DXXI,Ẹdẹgbẹta ati okanlelogun
522,DXXII,Ẹdẹgbẹta ati ejilelogun
523,DXXIII,Ẹdẹgbẹta ati etalelogun
524,DXXIV,Ẹdẹgbẹta ati erinlelogun
525,DXXV,Ẹdẹgbẹta ati edogbon
526,DXXVI,Ẹdẹgbẹta ati erindinlogbon
527,DXXVII,Ẹdẹgbẹta ati etadinlogbon
528,DXXVIII,Ẹdẹgbẹta ati ejidinlogbon
